Id,Name,Enabled,NaturalPersonEnabled,LegalEntityEnabled,Code
66,REINSURANCE,1,1,1,REINSURANCE
67,INFORMAL TRADING,1,1,1,INFORMAL TRADING
68,DOMESTIC SERVICES / GARDENING SERVICES,0,1,1,DOMESTIC SERVICES / GARDENING SERVICES

CREATE TABLE "IndustryTypes" (
	"Id" BIGINT,
	"Name" VARCHAR(200) COLLATE Latin1_General_CI_AS,
	"Enabled" BIT,
	"NaturalPersonEnabled" BIT,
	"LegalEntityEnabled" BIT,
	"Code" VARCHAR(200) COLLATE Latin1_General_CI_AS,
	PRIMARY KEY ("Id")
),
